HMDBP,Metabolite,direction,status
HMDBP00852,HMDB0000217,Reactand,Experimental
HMDBP00852,HMDB0002111,Reactand,Experimental
HMDBP00852,HMDB0000182,Reactand,Experimental
HMDBP00852,HMDB0000208,Product,Experimental
HMDBP00852,HMDB0000221,Product,Experimental
HMDBP00852,HMDB0000902,Reactand,Experimental
HMDBP00852,HMDB0000148,Reactand,Experimental
HMDBP00852,HMDB0001263,Product,Experimental
HMDBP00852,HMDB0001487,Product,Experimental
HMDBP00852,HMDB0000279,Reactand,Experimental
HMDBP00852,HMDB0000182,Product,Experimental
HMDBP00852,HMDB0059597,Product,Experimental
HMDBP00852,HMDB0000148,Product,Experimental
HMDBP08965,HMDB0000191,Reactand,Experimental
HMDBP08965,HMDB0000208,Reactand,Experimental
HMDBP08965,HMDB0000223,Product,Experimental
HMDBP08965,HMDB0000148,Product,Experimental
HMDBP00283,HMDB0000191,Reactand,Experimental
HMDBP00283,HMDB0000208,Reactand,Experimental
HMDBP00283,HMDB0000223,Product,Experimental
HMDBP00283,HMDB0000148,Product,Experimental
HMDBP00283,HMDB0000159,Reactand,Experimental
HMDBP00283,HMDB0000205,Product,Experimental
HMDBP00283,HMDB0000158,Reactand,Experimental
HMDBP00283,HMDB0000707,Product,Experimental
HMDBP00283,HMDB0000574,Reactand,Experimental
HMDBP00283,HMDB0001368,Product,Experimental
HMDBP00283,HMDB0060475,Product,Experimental
HMDBP00283,HMDB0002757,Reactand,Experimental
HMDBP00283,HMDB0004045,Product,Experimental
HMDBP00283,HMDB0000996,Reactand,Experimental
HMDBP00283,HMDB0001405,Product,Experimental
HMDBP00283,HMDB0002273,Reactand,Experimental
HMDBP00283,HMDB0060466,Product,Experimental
HMDBP00284,HMDB0000191,Reactand,Experimental
HMDBP00284,HMDB0000208,Reactand,Experimental
HMDBP00284,HMDB0000223,Product,Experimental
HMDBP00284,HMDB0000148,Product,Experimental
HMDBP00284,HMDB0000684,Reactand,Experimental
HMDBP00284,HMDB0000978,Product,Experimental
HMDBP00284,HMDB0000159,Reactand,Experimental
HMDBP00284,HMDB0000205,Product,Experimental
HMDBP00284,HMDB0000158,Reactand,Experimental
HMDBP00284,HMDB0000707,Product,Experimental
HMDBP00284,HMDB0000574,Reactand,Experimental
HMDBP00284,HMDB0001368,Product,Experimental
HMDBP00284,HMDB0060475,Product,Experimental
HMDBP00284,HMDB0002757,Reactand,Experimental
HMDBP00284,HMDB0004045,Product,Experimental
HMDBP00284,HMDB0000996,Reactand,Experimental
HMDBP00284,HMDB0001405,Product,Experimental
HMDBP00284,HMDB0002273,Reactand,Experimental
HMDBP00284,HMDB0060466,Product,Experimental
HMDBP11591,HMDB0000089,Reactand,Experimental
HMDBP11591,HMDB0002111,Reactand,Experimental
HMDBP11591,HMDB0000296,Product,Experimental
HMDBP11591,HMDB0000051,Product,Experimental
HMDBP11592,HMDB0000089,Reactand,Experimental
HMDBP11592,HMDB0002111,Reactand,Experimental
HMDBP11592,HMDB0000296,Product,Experimental
HMDBP11592,HMDB0000051,Product,Experimental
HMDBP11593,HMDB0000089,Reactand,Experimental
HMDBP11593,HMDB0002111,Reactand,Experimental
HMDBP11593,HMDB0000296,Product,Experimental
HMDBP11593,HMDB0000051,Product,Experimental
HMDBP11594,HMDB0000089,Reactand,Experimental
HMDBP11594,HMDB0002111,Reactand,Experimental
HMDBP11594,HMDB0000296,Product,Experimental
HMDBP11594,HMDB0000051,Product,Experimental
HMDBP11595,HMDB0000089,Reactand,Experimental
HMDBP11595,HMDB0002111,Reactand,Experimental
HMDBP11595,HMDB0000296,Product,Experimental
HMDBP11595,HMDB0000051,Product,Experimental
HMDBP11596,HMDB0000014,Reactand,Experimental
HMDBP11596,HMDB0002111,Reactand,Experimental
HMDBP11596,HMDB0000012,Product,Experimental
HMDBP11596,HMDB0000051,Product,Experimental
HMDBP10683,HMDB0000089,Reactand,Experimental
HMDBP10683,HMDB0002111,Reactand,Experimental
HMDBP10683,HMDB0000296,Product,Experimental
HMDBP10683,HMDB0000051,Product,Experimental
HMDBP11597,HMDB0002111,Reactand,Experimental
HMDBP11597,HMDB0000131,Reactand,Experimental
HMDBP11598,HMDB0001423,Reactand,Experimental
HMDBP11599,HMDB0002111,Reactand,Experimental
HMDBP11599,HMDB0000131,Reactand,Experimental
HMDBP11600,HMDB0060491,Reactand,Experimental
HMDBP11600,HMDB0002111,Reactand,Experimental
HMDBP11600,HMDB0015159,Product,Experimental
HMDBP11600,HMDB0000127,Product,Experimental
HMDBP00390,HMDB0000870,Reactand,Experimental
HMDBP00390,HMDB0002111,Reactand,Experimental
HMDBP00390,HMDB0001377,Reactand,Experimental
HMDBP00390,HMDB0003905,Product,Experimental
HMDBP00390,HMDB0000051,Product,Experimental
HMDBP00390,HMDB0003125,Product,Experimental
HMDBP00390,HMDB0001414,Reactand,Experimental
HMDBP00390,HMDB0001080,Product,Experimental
HMDBP00390,HMDB0000303,Reactand,Experimental
HMDBP00390,HMDB0001190,Product,Experimental
HMDBP00047,HMDB0000538,Reactand,Experimental
HMDBP00047,HMDB0001206,Reactand,Experimental
HMDBP00047,HMDB0000595,Reactand,Experimental
HMDBP00047,HMDB0001341,Product,Experimental
HMDBP00047,HMDB0001429,Product,Experimental
HMDBP00047,HMDB0001175,Product,Experimental
HMDBP00047,HMDB0001341,Reactand,Experimental
HMDBP00047,HMDB0001429,Reactand,Experimental
HMDBP00047,HMDB0001175,Reactand,Experimental
HMDBP00018,HMDB0000538,Reactand,Experimental
HMDBP00018,HMDB0001206,Reactand,Experimental
HMDBP00018,HMDB0000595,Reactand,Experimental
HMDBP00018,HMDB0001341,Product,Experimental
HMDBP00018,HMDB0001429,Product,Experimental
HMDBP00018,HMDB0001175,Product,Experimental
HMDBP00018,HMDB0001341,Reactand,Experimental
HMDBP00018,HMDB0001429,Reactand,Experimental
HMDBP00018,HMDB0001175,Reactand,Experimental
HMDBP05273,HMDB0001243,Reactand,Experimental
HMDBP05273,HMDB0001011,Reactand,Experimental
HMDBP00102,HMDB0001338,Reactand,Experimental
HMDBP00102,HMDB0001248,Reactand,Experimental
HMDBP00102,HMDB0003945,Product,Experimental
HMDBP00102,HMDB0001197,Product,Experimental
HMDBP00102,HMDB0001070,Reactand,Experimental
HMDBP00102,HMDB0003949,Product,Experimental
HMDBP00102,HMDB0003571,Reactand,Experimental
HMDBP00102,HMDB0003712,Product,Experimental
HMDBP00102,HMDB0001521,Reactand,Experimental
HMDBP00102,HMDB0003946,Product,Experimental
HMDBP00102,HMDB0002845,Reactand,Experimental
HMDBP00102,HMDB0003944,Product,Experimental
HMDBP00102,HMDB0006404,Reactand,Experimental
HMDBP00102,HMDB0003948,Product,Experimental
HMDBP00104,HMDB0001275,Reactand,Experimental
HMDBP00104,HMDB0001248,Reactand,Experimental
HMDBP00104,HMDB0001197,Product,Experimental
HMDBP00104,HMDB0002307,Product,Experimental
HMDBP00104,HMDB0001088,Reactand,Experimental
HMDBP00104,HMDB0002009,Product,Experimental
HMDBP00104,HMDB0001338,Reactand,Experimental
HMDBP00104,HMDB0003945,Product,Experimental
HMDBP00104,HMDB0001243,Reactand,Experimental
HMDBP00104,HMDB0001011,Reactand,Experimental
HMDBP00104,HMDB0060317,Reactand,Experimental
HMDBP00104,HMDB0002054,Reactand,Experimental
HMDBP00104,HMDB0001070,Reactand,Experimental
HMDBP00104,HMDB0003949,Product,Experimental
HMDBP00104,HMDB0003571,Reactand,Experimental
HMDBP00104,HMDB0003712,Product,Experimental
HMDBP00104,HMDB0001521,Reactand,Experimental
HMDBP00104,HMDB0003946,Product,Experimental
HMDBP00104,HMDB0001113,Reactand,Experimental
HMDBP00104,HMDB0001493,Product,Experimental
HMDBP00104,HMDB0002307,Reactand,Experimental
HMDBP00104,HMDB0002845,Reactand,Experimental
HMDBP00104,HMDB0003944,Product,Experimental
HMDBP00104,HMDB0006404,Reactand,Experimental
HMDBP00104,HMDB0003948,Product,Experimental
HMDBP00103,HMDB0001088,Reactand,Experimental
HMDBP00103,HMDB0002009,Reactand,Experimental
HMDBP00103,HMDB0000902,Reactand,Experimental
HMDBP00103,HMDB0002009,Product,Experimental
HMDBP00103,HMDB0001487,Product,Experimental
HMDBP00103,HMDB0059597,Product,Experimental
HMDBP00103,HMDB0001248,Reactand,Experimental
HMDBP00103,HMDB0001197,Product,Experimental
HMDBP00103,HMDB0001243,Reactand,Experimental
HMDBP00103,HMDB0001011,Reactand,Experimental
HMDBP00103,HMDB0001041,Reactand,Experimental
HMDBP00103,HMDB0002054,Reactand,Experimental
HMDBP00103,HMDB0002845,Reactand,Experimental
HMDBP00103,HMDB0003944,Product,Experimental
HMDBP08259,HMDB0001338,Reactand,Experimental
HMDBP08259,HMDB0001248,Reactand,Experimental
HMDBP08259,HMDB0003945,Product,Experimental
HMDBP08259,HMDB0001197,Product,Experimental
HMDBP11005,HMDB0000538,Reactand,Experimental
HMDBP11005,HMDB0001423,Reactand,Experimental
HMDBP11005,HMDB0000045,Reactand,Experimental
HMDBP11005,HMDB0000250,Product,Experimental
HMDBP11005,HMDB0000220,Reactand,Experimental
HMDBP11005,HMDB0000045,Product,Experimental
HMDBP11005,HMDB0001338,Product,Experimental
HMDBP11004,HMDB0000538,Reactand,Experimental
HMDBP11004,HMDB0001423,Reactand,Experimental
HMDBP11004,HMDB0000045,Reactand,Experimental
HMDBP11004,HMDB0000250,Product,Experimental
HMDBP11004,HMDB0000220,Reactand,Experimental
HMDBP11004,HMDB0000045,Product,Experimental
HMDBP11004,HMDB0001338,Product,Experimental
HMDBP01613,HMDB0001041,Reactand,Experimental
HMDBP01613,HMDB0059597,Reactand,Experimental
HMDBP01613,HMDB0001088,Reactand,Experimental
HMDBP01613,HMDB0001248,Reactand,Experimental
HMDBP01613,HMDB0001197,Product,Experimental
HMDBP01613,HMDB0002009,Product,Experimental
HMDBP01613,HMDB0001243,Reactand,Experimental
HMDBP01613,HMDB0001011,Reactand,Experimental
HMDBP01613,HMDB0002054,Reactand,Experimental
HMDBP01613,HMDB0002845,Reactand,Experimental
HMDBP01613,HMDB0003944,Product,Experimental
HMDBP08177,HMDB0001035,Reactand,Experimental
HMDBP08177,HMDB0002111,Reactand,Experimental
HMDBP08177,HMDB0000159,Product,Experimental
HMDBP10638,HMDB0002111,Reactand,Experimental
HMDBP10638,HMDB0000252,Reactand,Experimental
HMDBP10638,HMDB0000269,Reactand,Experimental
HMDBP10638,HMDB0004610,Reactand,Experimental
HMDBP09163,HMDB0002111,Reactand,Experimental
HMDBP09163,HMDB0000252,Reactand,Experimental
HMDBP09163,HMDB0000269,Reactand,Experimental
HMDBP09163,HMDB0004610,Reactand,Experimental
HMDBP07413,HMDB0002111,Reactand,Experimental
HMDBP07413,HMDB0000269,Reactand,Experimental
HMDBP00524,HMDB0000895,Reactand,Experimental
HMDBP00524,HMDB0002111,Reactand,Experimental
HMDBP00524,HMDB0000097,Product,Experimental
HMDBP00524,HMDB0000042,Product,Experimental
HMDBP00010,HMDB0001341,Reactand,Experimental
HMDBP00010,HMDB0001429,Reactand,Experimental
HMDBP00010,HMDB0001206,Reactand,Experimental
HMDBP00010,HMDB0000223,Reactand,Experimental
HMDBP00010,HMDB0000538,Product,Experimental
HMDBP00010,HMDB0000094,Product,Experimental
HMDBP00010,HMDB0001423,Product,Experimental
HMDBP00010,HMDB0000538,Reactand,Experimental
HMDBP00010,HMDB0000094,Reactand,Experimental
HMDBP00010,HMDB0001423,Reactand,Experimental
HMDBP00010,HMDB0001341,Product,Experimental
HMDBP00010,HMDB0001429,Product,Experimental
HMDBP00010,HMDB0001206,Product,Experimental
HMDBP00010,HMDB0000223,Product,Experimental
HMDBP00261,HMDB0001330,Reactand,Experimental
HMDBP00261,HMDB0001280,Product,Experimental
HMDBP00261,HMDB0001967,Product,Experimental
HMDBP00024,HMDB0001206,Reactand,Experimental
HMDBP00024,HMDB0002111,Reactand,Experimental
HMDBP00024,HMDB0001423,Product,Experimental
HMDBP00024,HMDB0000042,Product,Experimental
HMDBP11601,HMDB0001338,Reactand,Experimental
HMDBP11601,HMDB0002111,Reactand,Experimental
HMDBP11601,HMDB0001423,Product,Experimental
HMDBP11601,HMDB0000220,Product,Experimental
HMDBP00726,HMDB0000094,Reactand,Experimental
HMDBP00726,HMDB0000193,Product,Experimental
HMDBP00726,HMDB0000072,Product,Experimental
HMDBP00726,HMDB0002111,Product,Experimental
HMDBP00726,HMDB0000193,Reactand,Experimental
HMDBP00726,HMDB0003518,Reactand,Experimental
HMDBP00726,HMDB0060320,Product,Experimental
HMDBP00313,HMDB0001114,Reactand,Experimental
HMDBP00313,HMDB0001377,Reactand,Experimental
HMDBP00313,HMDB0059597,Reactand,Experimental
HMDBP00313,HMDB0001322,Reactand,Experimental
HMDBP00313,HMDB0002111,Product,Experimental
HMDBP00725,HMDB0000094,Reactand,Experimental
HMDBP00725,HMDB0000193,Product,Experimental
HMDBP00725,HMDB0000072,Product,Experimental
HMDBP00725,HMDB0002111,Product,Experimental
HMDBP00725,HMDB0000193,Reactand,Experimental
HMDBP00725,HMDB0003518,Reactand,Experimental
HMDBP00725,HMDB0060320,Product,Experimental
HMDBP11000,HMDB0001338,Reactand,Experimental
HMDBP11000,HMDB0002111,Reactand,Experimental
HMDBP11000,HMDB0001423,Product,Experimental
HMDBP11000,HMDB0000220,Product,Experimental
HMDBP11000,HMDB0001114,Reactand,Experimental
HMDBP11000,HMDB0000827,Product,Experimental
HMDBP11000,HMDB0004258,Reactand,Experimental
HMDBP11000,HMDB0002212,Product,Experimental
HMDBP11000,HMDB0001322,Reactand,Experimental
HMDBP11000,HMDB0000207,Product,Experimental
HMDBP11000,HMDB0001064,Reactand,Experimental
HMDBP11000,HMDB0000673,Product,Experimental
HMDBP11000,HMDB0006290,Reactand,Experimental
HMDBP11000,HMDB0001388,Product,Experimental
HMDBP11000,HMDB0060311,Reactand,Experimental
HMDBP11000,HMDB0001999,Product,Experimental
HMDBP11000,HMDB0060198,Reactand,Experimental
HMDBP11000,HMDB0002183,Product,Experimental
HMDBP11000,HMDB0006368,Reactand,Experimental
HMDBP11000,HMDB0003073,Product,Experimental
HMDBP11000,HMDB0060185,Reactand,Experimental
HMDBP11000,HMDB0002925,Product,Experimental
HMDBP11000,HMDB0006523,Reactand,Experimental
HMDBP11000,HMDB0001043,Product,Experimental
HMDBP11000,HMDB0001275,Reactand,Experimental
HMDBP01047,HMDB0001338,Reactand,Experimental
HMDBP01047,HMDB0002111,Reactand,Experimental
HMDBP01047,HMDB0001423,Product,Experimental
HMDBP01047,HMDB0000220,Product,Experimental
HMDBP01047,HMDB0001114,Reactand,Experimental
HMDBP01047,HMDB0000827,Product,Experimental
HMDBP01047,HMDB0004258,Reactand,Experimental
HMDBP01047,HMDB0002212,Product,Experimental
HMDBP01047,HMDB0001322,Reactand,Experimental
HMDBP01047,HMDB0000207,Product,Experimental
HMDBP01047,HMDB0001064,Reactand,Experimental
HMDBP01047,HMDB0000673,Product,Experimental
HMDBP01047,HMDB0006290,Reactand,Experimental
HMDBP01047,HMDB0001388,Product,Experimental
HMDBP01047,HMDB0060311,Reactand,Experimental
HMDBP01047,HMDB0001999,Product,Experimental
HMDBP01047,HMDB0060198,Reactand,Experimental
HMDBP01047,HMDB0002183,Product,Experimental
HMDBP01047,HMDB0006368,Reactand,Experimental
HMDBP01047,HMDB0003073,Product,Experimental
HMDBP01047,HMDB0060185,Reactand,Experimental
HMDBP01047,HMDB0002925,Product,Experimental
HMDBP01047,HMDB0006523,Reactand,Experimental
HMDBP01047,HMDB0001043,Product,Experimental
HMDBP01047,HMDB0001275,Reactand,Experimental
HMDBP01048,HMDB0001338,Reactand,Experimental
HMDBP01048,HMDB0002111,Reactand,Experimental
HMDBP01048,HMDB0001423,Product,Experimental
HMDBP01048,HMDB0000220,Product,Experimental
