ligand_pubchem_sid	ligand_pubchem_cid	ligand name	ligand_type	Receptor_id	Receptor_symbol	Receptor_uniprot	Receptor_location	Type	target_species	pubmed_id	Other.DB	LRID
135652731		Ca2+	Inorganic	3359	HTR3A	P46098	Membrane	sMOL-receptor interaction	Human	9508827	IUPHAR	LR08169
135652741		Mg2+	Inorganic	3359	HTR3A	P46098	Membrane	sMOL-receptor interaction	Human	10582123	IUPHAR	LR08170
135651413	5202	5-hydroxytryptamine	Metabolite	CH0145	HTR3A	O95264	Membrane	sMOL-receptor interaction	Human	9950429;10521471;16081679;10825381	IUPHAR	LR08171
135651413	5202	5-hydroxytryptamine	Metabolite	CH0145	HTR3B	P46098	Membrane	sMOL-receptor interaction	Human	9950429;10521471;16081679;10825381	IUPHAR	LR08171
135651413	5202	5-hydroxytryptamine	Metabolite	3360	HTR4	Q13639	Membrane	sMOL-receptor interaction	Human	15466450;9349523;9603189;9351641;10646498;11218067;10683202;11030734;10821780;15351779	IUPHAR	LR08174
135651413	5202	5-hydroxytryptamine	Metabolite	3361	HTR5A	P47898	Membrane	sMOL-receptor interaction	Human	7988681;11343685	IUPHAR	LR08175
135651413	5202	5-hydroxytryptamine	Metabolite	3362	HTR6	P50406	Membrane	sMOL-receptor interaction	Human	8522988;9730917;9284367	IUPHAR	LR08176
135651413	5202	5-hydroxytryptamine	Metabolite	3363	HTR7	P34969	Membrane	sMOL-receptor interaction	Human	12527336;11414657;9298538;8226867;9720804	IUPHAR	LR08177
135651545	6323481	phosphatidylserine	Metabolite	575	ADGRB1	O14514	Membrane	sMOL-receptor interaction	Human	17960134	IUPHAR	LR08178
135651430	5816	(-)-adrenaline	Metabolite	148	ADRA1A	P35348	Membrane	sMOL-receptor interaction	Human	7651358;8564227	IUPHAR	LR08179
135651527	439260	(-)-noradrenaline	Metabolite	148	ADRA1A	P35348	Membrane	sMOL-receptor interaction	Human	7651358;10433504;8564227	IUPHAR	LR08180
135651430	5816	(-)-adrenaline	Metabolite	147	ADRA1B	P35368	Membrane	sMOL-receptor interaction	Human	7651358	IUPHAR	LR08181
135651527	439260	(-)-noradrenaline	Metabolite	147	ADRA1B	P35368	Membrane	sMOL-receptor interaction	Human	7651358	IUPHAR	LR08182
135651430	5816	(-)-adrenaline	Metabolite	146	ADRA1D	P25100	Membrane	sMOL-receptor interaction	Human	7651358;8564227	IUPHAR	LR08183
135651527	439260	(-)-noradrenaline	Metabolite	146	ADRA1D	P25100	Membrane	sMOL-receptor interaction	Human	7651358;8564227	IUPHAR	LR08184
135651430	5816	(-)-adrenaline	Metabolite	150	ADRA2A	P08913	Membrane	sMOL-receptor interaction	Human	9824686;9605427	IUPHAR	LR08185
135651527	439260	(-)-noradrenaline	Metabolite	150	ADRA2A	P08913	Membrane	sMOL-receptor interaction	Human	9824686;9605427	IUPHAR	LR08186
135651430	5816	(-)-adrenaline	Metabolite	151	ADRA2B	P18089	Membrane	sMOL-receptor interaction	Human	9605427	IUPHAR	LR08187
135651527	439260	(-)-noradrenaline	Metabolite	151	ADRA2B	P18089	Membrane	sMOL-receptor interaction	Human	9824686;9605427	IUPHAR	LR08188
135651430	5816	(-)-adrenaline	Metabolite	152	ADRA2C	P18825	Membrane	sMOL-receptor interaction	Human	9605427	IUPHAR	LR08189
135651527	439260	(-)-noradrenaline	Metabolite	152	ADRA2C	P18825	Membrane	sMOL-receptor interaction	Human	9824686;9605427	IUPHAR	LR08190
135651474	10635	dihydrotestosterone	Metabolite	367	AR	P10275	Membrane	sMOL-receptor interaction	Human	2911578	IUPHAR	LR08191
135651426	60961	adenosine	Metabolite	134	ADORA1	P30542	Membrane	sMOL-receptor interaction	Human	14662005	IUPHAR	LR08192
135651426	60961	adenosine	Metabolite	135	ADORA2A	P29274	Membrane	sMOL-receptor interaction	Human	15822182;7746802;14662005	IUPHAR	LR08193
135651426	60961	adenosine	Metabolite	136	ADORA2B	P29275	Membrane	sMOL-receptor interaction	Human	15822182;7746802;14662005	IUPHAR	LR08194
135651426	60961	adenosine	Metabolite	140	ADORA3	P0DMS8	Membrane	sMOL-receptor interaction	Human	15822182;7746802;14662005	IUPHAR	LR08195
178102796		gastrin releasing peptide(14-27)	Peptide	4829	NMBR	P28336	Membrane	sMOL-receptor interaction	Human	21729729	IUPHAR	LR08196
178102796		gastrin releasing peptide(14-27)	Peptide	2925	GRPR	P30550	Membrane	sMOL-receptor interaction	Human	21729729	IUPHAR	LR08197
178102799		neuromedin C	Peptide	2925	GRPR	P30550	Membrane	sMOL-receptor interaction	Human	21729729	IUPHAR	LR08198
135651430	5816	(-)-adrenaline	Metabolite	153	ADRB1	P08588	Membrane	sMOL-receptor interaction	Human	2849109;14730417	IUPHAR	LR08199
135651527	439260	(-)-noradrenaline	Metabolite	153	ADRB1	P08588	Membrane	sMOL-receptor interaction	Human	2849109;14730417	IUPHAR	LR08200
135651526	951	noradrenaline	Metabolite	153	ADRB1	P08588	Membrane	sMOL-receptor interaction	Human	2849109	IUPHAR	LR08201
135651527	439260	(-)-noradrenaline	Metabolite	154	ADRB2	P07550	Membrane	sMOL-receptor interaction	Human	2849109;14730417	IUPHAR	LR08202
135651430	5816	(-)-adrenaline	Metabolite	154	ADRB2	P07550	Membrane	sMOL-receptor interaction	Human	2849109;9295336;14730417	IUPHAR	LR08203
135651526	951	noradrenaline	Metabolite	154	ADRB2	P07550	Membrane	sMOL-receptor interaction	Human	15102946	IUPHAR	LR08204
135652747		Zn2+	Inorganic	154	ADRB2	P07550	Membrane	sMOL-receptor interaction	Human	12409304;11752207	IUPHAR	LR08205
135651430	5816	(-)-adrenaline	Metabolite	155	ADRB3	P13945	Membrane	sMOL-receptor interaction	Human	14730417	IUPHAR	LR08206
135651527	439260	(-)-noradrenaline	Metabolite	155	ADRB3	P13945	Membrane	sMOL-receptor interaction	Human	9131260;14730417;14744619	IUPHAR	LR08207
135651547	838	(plusmn)-adrenaline	Metabolite	155	ADRB3	P13945	Membrane	sMOL-receptor interaction	Human	8719421;7903415;14730417	IUPHAR	LR08208
135651371	5283156	12R-HETE	Metabolite	1241	LTB4R	Q15722	Membrane	sMOL-receptor interaction	Human	9177352	IUPHAR	LR08209
135651386	5280745	20-hydroxy-LTB4	Metabolite	1241	LTB4R	Q15722	Membrane	sMOL-receptor interaction	Human	9177352	IUPHAR	LR08210
178102780	5283141	12-hydroxyheptadecatrienoic acid	Metabolite	56413	LTB4R2	Q9NPC1	Membrane	sMOL-receptor interaction	Human	18378794	IUPHAR	LR08211
178102781	5283130	12-epi LTB4	Metabolite	56413	LTB4R2	Q9NPC1	Membrane	sMOL-receptor interaction	Human	11278893	IUPHAR	LR08212
135651372	5283155	12S-HETE	Metabolite	56413	LTB4R2	Q9NPC1	Membrane	sMOL-receptor interaction	Human	11278893	IUPHAR	LR08213
135651378	5280724	15S-HETE	Metabolite	56413	LTB4R2	Q9NPC1	Membrane	sMOL-receptor interaction	Human	11278893	IUPHAR	LR08214
53801088	5280492	LTB4	Metabolite	56413	LTB4R2	Q9NPC1	Membrane	sMOL-receptor interaction	Human	18378794	IUPHAR	LR08215
135652731		Ca2+	Inorganic	846	CASR	P41180	Membrane	sMOL-receptor interaction	Human	7531693	IUPHAR	LR08217
135651562	1103	spermine	Metabolite	846	CASR	P41180	Membrane	sMOL-receptor interaction	Human	9357776	IUPHAR	LR08218
135651515	6305	L-tryptophan	Metabolite	846	CASR	P41180	Membrane	sMOL-receptor interaction	Human	10781086;15234970	IUPHAR	LR08219
135651438	5281969	anandamide	Metabolite	8913	CACNA1G	O43497	Membrane	sMOL-receptor interaction	Human	11742980	IUPHAR	LR08220
135651438	5281969	anandamide	Metabolite	8912	CACNA1H	O95180	Membrane	sMOL-receptor interaction	Human	11742980	IUPHAR	LR08221
135650814	5280723	PGE1	Natural product	117144	CATSPER1	Q8NEC5	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08222
135651539	5280360	PGE2	Metabolite	117144	CATSPER1	Q8NEC5	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08223
178102065	5280939	PGF1alpha	Metabolite	117144	CATSPER1	Q8NEC5	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08224
135651551	5994	progesterone	Metabolite	117144	CATSPER1	Q8NEC5	Membrane	sMOL-receptor interaction	Human	21412339;21412338	IUPHAR	LR08225
135650814	5280723	PGE1	Natural product	117155	CATSPER2	Q96P56	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08226
135651539	5280360	PGE2	Metabolite	117155	CATSPER2	Q96P56	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08227
178102065	5280939	PGF1alpha	Metabolite	117155	CATSPER2	Q96P56	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08228
135651551	5994	progesterone	Metabolite	117155	CATSPER2	Q96P56	Membrane	sMOL-receptor interaction	Human	21412339;21412338	IUPHAR	LR08229
135650814	5280723	PGE1	Natural product	347732	CATSPER3	Q86XQ3	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08230
135651539	5280360	PGE2	Metabolite	347732	CATSPER3	Q86XQ3	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08231
178102065	5280939	PGF1alpha	Metabolite	347732	CATSPER3	Q86XQ3	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08232
135651551	5994	progesterone	Metabolite	347732	CATSPER3	Q86XQ3	Membrane	sMOL-receptor interaction	Human	21412339;21412338	IUPHAR	LR08233
135650814	5280723	PGE1	Natural product	378807	CATSPER4	Q7RTX7	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08234
135651539	5280360	PGE2	Metabolite	378807	CATSPER4	Q7RTX7	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08235
178102065	5280939	PGF1alpha	Metabolite	378807	CATSPER4	Q7RTX7	Membrane	sMOL-receptor interaction	Human	21412339	IUPHAR	LR08236
135651551	5994	progesterone	Metabolite	378807	CATSPER4	Q7RTX7	Membrane	sMOL-receptor interaction	Human	21412339;21412338	IUPHAR	LR08237
135651438	5281969	anandamide	Metabolite	1268	CNR1	P21554	Membrane	sMOL-receptor interaction	Human	7565624;8819477	IUPHAR	LR08238
135651394	5282280	2-arachidonoylglycerol	Metabolite	1269	CNR2	P34972	Membrane	sMOL-receptor interaction	Human	7605349;9721036	IUPHAR	LR08239
135651438	5281969	anandamide	Metabolite	1269	CNR2	P34972	Membrane	sMOL-receptor interaction	Human	7565624;8819477;7605349	IUPHAR	LR08240
178100598	3084441	desulfated cholecystokinin-8	Peptide	887	CCKBR	P32239	Membrane	sMOL-receptor interaction	Human	7681836	IUPHAR	LR08241
178100364	10473088	resolvin E1	Metabolite	1240	CMKLR1	Q99788	Membrane	sMOL-receptor interaction	Human	15753205;20887750;17339491	IUPHAR	LR08242
135651454	135398570	cyclic GMP	Metabolite	1259	CNGA1	P29973	Membrane	sMOL-receptor interaction	Human	12467592;7530019;1379636;7479749;9512030;7526403;9874685	IUPHAR	LR08243
135651452	6076	cyclic AMP	Metabolite	1261	CNGA3	Q16281	Membrane	sMOL-receptor interaction	Human	8814292;12730238	IUPHAR	LR08244
135651454	135398570	cyclic GMP	Metabolite	1261	CNGA3	Q16281	Membrane	sMOL-receptor interaction	Human	8814292;9517456;12730238	IUPHAR	LR08245
135651512	5280493	LTC4	Metabolite	10800	CYSLTR1	Q9Y271	Membrane	sMOL-receptor interaction	Human	10391245	IUPHAR	LR08246
135651513	6435286	LTD4	Metabolite	10800	CYSLTR1	Q9Y271	Membrane	sMOL-receptor interaction	Human	10391245	IUPHAR	LR08249
135651514	5280879	LTE4	Metabolite	10800	CYSLTR1	Q9Y271	Membrane	sMOL-receptor interaction	Human	9547367	IUPHAR	LR08253
135651512	5280493	LTC4	Metabolite	57105	CYSLTR2	Q9NS75	Membrane	sMOL-receptor interaction	Human	10913337;11093801	IUPHAR	LR08257
135651513	6435286	LTD4	Metabolite	57105	CYSLTR2	Q9NS75	Membrane	sMOL-receptor interaction	Human	9547367	IUPHAR	LR08262
135651514	5280879	LTE4	Metabolite	57105	CYSLTR2	Q9NS75	Membrane	sMOL-receptor interaction	Human	10913337;11093801	IUPHAR	LR08269
135652148	5311080	endomorphin-1	Peptide	4985	OPRD1	P41143	Membrane	sMOL-receptor interaction	Human	9849897	IUPHAR	LR08274
135651538	448457	PGD2	Metabolite	5729	PTGDR	Q13258	Membrane	sMOL-receptor interaction	Human	10448933;7642548;9579725;16604093	IUPHAR	LR08275
135650814	5280723	PGE1	Natural product	5729	PTGDR	Q13258	Membrane	sMOL-receptor interaction	Human	9579725	IUPHAR	LR08276
135651539	5280360	PGE2	Metabolite	5729	PTGDR	Q13258	Membrane	sMOL-receptor interaction	Human	7642548;9579725;10634944	IUPHAR	LR08277
135651540	5280363	PGF2alpha	Metabolite	5729	PTGDR	Q13258	Membrane	sMOL-receptor interaction	Human	9579725;10634944	IUPHAR	LR08278
135651542	5280884	PGJ2	Metabolite	5729	PTGDR	Q13258	Membrane	sMOL-receptor interaction	Human	9579725	IUPHAR	LR08279
135651538	448457	PGD2	Metabolite	11251	PTGDR2	Q9Y5Y4	Membrane	sMOL-receptor interaction	Human	12466225;16256979	IUPHAR	LR08280
135651539	5280360	PGE2	Metabolite	11251	PTGDR2	Q9Y5Y4	Membrane	sMOL-receptor interaction	Human	12466225	IUPHAR	LR08281
135651540	5280363	PGF2alpha	Metabolite	11251	PTGDR2	Q9Y5Y4	Membrane	sMOL-receptor interaction	Human	12466225	IUPHAR	LR08282
135651542	5280884	PGJ2	Metabolite	11251	PTGDR2	Q9Y5Y4	Membrane	sMOL-receptor interaction	Human	12466225	IUPHAR	LR08283
135651480	681	dopamine	Metabolite	1812	DRD1	P21728	Membrane	sMOL-receptor interaction	Human	1826762;7525564	IUPHAR	LR08284
135651526	951	noradrenaline	Metabolite	1812	DRD1	P21728	Membrane	sMOL-receptor interaction	Human	1826762	IUPHAR	LR08285
135651413	5202	5-hydroxytryptamine	Metabolite	1812	DRD1	P21728	Membrane	sMOL-receptor interaction	Human	1826762	IUPHAR	LR08286
135651480	681	dopamine	Metabolite	1813	DRD2	P14416	Membrane	sMOL-receptor interaction	Human	8301582;7756621;7576010	IUPHAR	LR08287
135651480	681	dopamine	Metabolite	1814	DRD3	P35462	Membrane	sMOL-receptor interaction	Human	8301582;7756621;7576010;1975644	IUPHAR	LR08288
135651480	681	dopamine	Metabolite	1815	DRD4	P21917	Membrane	sMOL-receptor interaction	Human	1840645	IUPHAR	LR08289
135651413	5202	5-hydroxytryptamine	Metabolite	1816	DRD5	P21918	Membrane	sMOL-receptor interaction	Human	1826762	IUPHAR	LR08290
135651480	681	dopamine	Metabolite	1816	DRD5	P21918	Membrane	sMOL-receptor interaction	Human	1826762	IUPHAR	LR08291
135651526	951	noradrenaline	Metabolite	1816	DRD5	P21918	Membrane	sMOL-receptor interaction	Human	1826762	IUPHAR	LR08292
135651538	448457	PGD2	Metabolite	5731	PTGER1	P34995	Membrane	sMOL-receptor interaction	Human	11999132	IUPHAR	LR08293
135650814	5280723	PGE1	Natural product	5731	PTGER1	P34995	Membrane	sMOL-receptor interaction	Human	11999132	IUPHAR	LR08294
135651539	5280360	PGE2	Metabolite	5731	PTGER1	P34995	Membrane	sMOL-receptor interaction	Human	16604093;10634944;11999132	IUPHAR	LR08295
135651540	5280363	PGF2alpha	Metabolite	5731	PTGER1	P34995	Membrane	sMOL-receptor interaction	Human	10634944;11999132	IUPHAR	LR08296
135651541	5282411	PGI2	Metabolite	5731	PTGER1	P34995	Membrane	sMOL-receptor interaction	Human	11999132	IUPHAR	LR08297
135651538	448457	PGD2	Metabolite	5732	PTGER2	P43116	Membrane	sMOL-receptor interaction	Human	10462542	IUPHAR	LR08298
135651539	5280360	PGE2	Metabolite	5732	PTGER2	P43116	Membrane	sMOL-receptor interaction	Human	16604093;10634944;10462542	IUPHAR	LR08299
135651540	5280363	PGF2alpha	Metabolite	5732	PTGER2	P43116	Membrane	sMOL-receptor interaction	Human	10634944;10462542	IUPHAR	LR08300
135651539	5280360	PGE2	Metabolite	5733	PTGER3	P43115	Membrane	sMOL-receptor interaction	Human	10634944	IUPHAR	LR08301
135651540	5280363	PGF2alpha	Metabolite	5733	PTGER3	P43115	Membrane	sMOL-receptor interaction	Human	10634944	IUPHAR	LR08304
135651538	448457	PGD2	Metabolite	5734	PTGER4	P35408	Membrane	sMOL-receptor interaction	Human	10462542;10952683	IUPHAR	LR08305
135650814	5280723	PGE1	Natural product	5734	PTGER4	P35408	Membrane	sMOL-receptor interaction	Human	19584306	IUPHAR	LR08307
135651539	5280360	PGE2	Metabolite	5734	PTGER4	P35408	Membrane	sMOL-receptor interaction	Human	16604093;10634944;10462542;10952683;17495127	IUPHAR	LR08309
135651540	5280363	PGF2alpha	Metabolite	5734	PTGER4	P35408	Membrane	sMOL-receptor interaction	Human	10634944;10462542;10952683	IUPHAR	LR08311
135651541	5282411	PGI2	Metabolite	5734	PTGER4	P35408	Membrane	sMOL-receptor interaction	Human	10952683	IUPHAR	LR08313
135651381	5757	17beta-estradiol	Metabolite	2099	ESR1	P03372	Membrane	sMOL-receptor interaction	Human	9048584	IUPHAR	LR08314
135651483	5756	estriol	Metabolite	2099	ESR1	P03372	Membrane	sMOL-receptor interaction	Human	9048584	IUPHAR	LR08315
135651484	5870	estrone	Metabolite	2099	ESR1	P03372	Membrane	sMOL-receptor interaction	Human	9048584	IUPHAR	LR08316
135651436	5280934	alpha-linolenic acid	Metabolite	2864	FFAR1	O14842	Membrane	sMOL-receptor interaction	Human	12496284;12565875;12629551	IUPHAR	LR08317
135651477	445580	docosahexaenoic acid	Metabolite	2864	FFAR1	O14842	Membrane	sMOL-receptor interaction	Human	12496284;12629551	IUPHAR	LR08318
178100239	11005	myristic acid	Metabolite	2864	FFAR1	O14842	Membrane	sMOL-receptor interaction	Human	12496284;12565875;12629551	IUPHAR	LR08319
135651531	445639	oleic acid	Metabolite	2864	FFAR1	O14842	Membrane	sMOL-receptor interaction	Human	12496284;12565875;12629551	IUPHAR	LR08320
178103114	81326	1-methylcyclopropanecarboxylic acid	Synthetic organic	2867	FFAR2	O15552	Membrane	sMOL-receptor interaction	Human	21220428	IUPHAR	LR08321
135651422	176	acetic acid	Metabolite	2867	FFAR2	O15552	Membrane	sMOL-receptor interaction	Human	12496283;12684041;12711604;21220428	IUPHAR	LR08322
135650039	264	butyric acid	Metabolite	2867	FFAR2	O15552	Membrane	sMOL-receptor interaction	Human	12496283;12684041;12711604;21220428	IUPHAR	LR08323
178103113	125468	trans-2-methylcrotonic acid	Synthetic organic	2867	FFAR2	O15552	Membrane	sMOL-receptor interaction	Human	21220428	IUPHAR	LR08324
135651552	1032	propanoic acid	Metabolite	2867	FFAR2	O15552	Membrane	sMOL-receptor interaction	Human	12496283;12684041;12711604;21220428	IUPHAR	LR08325
178103114	81326	1-methylcyclopropanecarboxylic acid	Synthetic organic	2865	FFAR3	O14843	Membrane	sMOL-receptor interaction	Human	21220428	IUPHAR	LR08326
135650039	264	butyric acid	Metabolite	2865	FFAR3	O14843	Membrane	sMOL-receptor interaction	Human	12496283;12711604;14722361;21220428	IUPHAR	LR08327
135651552	1032	propanoic acid	Metabolite	2865	FFAR3	O14843	Membrane	sMOL-receptor interaction	Human	12496283;12711604;14722361;21220428	IUPHAR	LR08328
135651436	5280934	alpha-linolenic acid	Metabolite	338557	FFAR4	Q5NUL3	Membrane	sMOL-receptor interaction	Human	22519963	IUPHAR	LR08329
135651503	5280450	linoleic acid	Metabolite	338557	FFAR4	Q5NUL3	Membrane	sMOL-receptor interaction	Human	16702987	IUPHAR	LR08330
178100239	11005	myristic acid	Metabolite	338557	FFAR4	Q5NUL3	Membrane	sMOL-receptor interaction	Human	22282525	IUPHAR	LR08331
135651531	445639	oleic acid	Metabolite	338557	FFAR4	Q5NUL3	Membrane	sMOL-receptor interaction	Human	22282525	IUPHAR	LR08332
135652476	3081832	spinorphin	Peptide	2357	FPR1	P21462	Membrane	sMOL-receptor interaction	Human	11714831;1373134	IUPHAR	LR08333
178102864		PrP106-126	Peptide	2358	FPR2	P25090	Membrane	sMOL-receptor interaction	Human	23549262	IUPHAR	LR08334
178102860	16126783	aspirin-triggered resolvin D1	Metabolite	2358	FPR2	P25090	Membrane	sMOL-receptor interaction	Human	22449948	IUPHAR	LR08335
135651504	5280914	LXA4	Metabolite	2358	FPR2	P25090	Membrane	sMOL-receptor interaction	Human	20080636	IUPHAR	LR08336
178100762	73755062	resolvin D1	Metabolite	2358	FPR2	P25090	Membrane	sMOL-receptor interaction	Human	20080636	IUPHAR	LR08337
135651538	448457	PGD2	Metabolite	5737	PTGFR	P43088	Membrane	sMOL-receptor interaction	Human	12519077	IUPHAR	LR08339
135651539	5280360	PGE2	Metabolite	5737	PTGFR	P43088	Membrane	sMOL-receptor interaction	Human	10634944;12519077	IUPHAR	LR08340
135651540	5280363	PGF2alpha	Metabolite	5737	PTGFR	P43088	Membrane	sMOL-receptor interaction	Human	16604093;10634944;12519077	IUPHAR	LR08341
135651489	119	GABA	Metabolite	CH0146	KCTD16	Q9UBS5	Membrane	sMOL-receptor interaction	Human	11082110;12663046	IUPHAR	LR08342
135651489	119	GABA	Metabolite	CH0146	KCTD8	O75899	Membrane	sMOL-receptor interaction	Human	11082110;12663046	IUPHAR	LR08342
135651489	119	GABA	Metabolite	CH0146	KCTD12	Q6ZWB6	Membrane	sMOL-receptor interaction	Human	11082110;12663046	IUPHAR	LR08342
135651489	119	GABA	Metabolite	CH0146	GABBR1	Q96CX2	Membrane	sMOL-receptor interaction	Human	11082110;12663046	IUPHAR	LR08342
135651489	119	GABA	Metabolite	CH0146	GABBR2	Q68DU8	Membrane	sMOL-receptor interaction	Human	11082110;12663046	IUPHAR	LR08342
135651455	10133	chenodeoxycholic acid	Metabolite	151306	GPBAR1	Q8TDU6	Membrane	sMOL-receptor interaction	Human	12419312	IUPHAR	LR08343
135651459	221493	cholic acid	Metabolite	151306	GPBAR1	Q8TDU6	Membrane	sMOL-receptor interaction	Human	12419312	IUPHAR	LR08344
135651468	222528	deoxycholic acid	Metabolite	151306	GPBAR1	Q8TDU6	Membrane	sMOL-receptor interaction	Human	12419312	IUPHAR	LR08345
135651505	9903	lithocholic acid	Metabolite	151306	GPBAR1	Q8TDU6	Membrane	sMOL-receptor interaction	Human	12419312	IUPHAR	LR08346
135651381	5757	17beta-estradiol	Metabolite	2852	GPER1	Q99527	Membrane	sMOL-receptor interaction	Human	15705806;15539556	IUPHAR	LR08347
135651492	750	glycine	Metabolite	222545	GPRC6A	Q5T6X5	Membrane	sMOL-receptor interaction	Human	15576628	IUPHAR	LR08348
135651498	5950	L-alanine	Metabolite	222545	GPRC6A	Q5T6X5	Membrane	sMOL-receptor interaction	Human	15576628	IUPHAR	LR08349
135651500	6322	L-arginine	Metabolite	222545	GPRC6A	Q5T6X5	Membrane	sMOL-receptor interaction	Human	15576628	IUPHAR	LR08350
135650512	9750	L-citrulline	Synthetic organic	222545	GPRC6A	Q5T6X5	Membrane	sMOL-receptor interaction	Human	15576628	IUPHAR	LR08351
135651502	5961	L-glutamine	Metabolite	222545	GPRC6A	Q5T6X5	Membrane	sMOL-receptor interaction	Human	15576628	IUPHAR	LR08352
135651507	5962	L-lysine	Metabolite	222545	GPRC6A	Q5T6X5	Membrane	sMOL-receptor interaction	Human	15576628	IUPHAR	LR08353
135651508	6262	L-ornithine	Metabolite	222545	GPRC6A	Q5T6X5	Membrane	sMOL-receptor interaction	Human	15576628	IUPHAR	LR08354
135651510	5951	L-serine	Metabolite	222545	GPRC6A	Q5T6X5	Membrane	sMOL-receptor interaction	Human	15576628	IUPHAR	LR08355
381744893		mutant ANP	Peptide	4881	NPR1	P16066	Membrane	sMOL-receptor interaction	Human	19729120	IUPHAR	LR08356
135651506	107689	L-lactic acid	Metabolite	27198	HCAR1	Q9BXC0	Membrane	sMOL-receptor interaction	Human	18952058;19047060;20374963;23396314	IUPHAR	LR08357
135649984	92135	beta-D-hydroxybutyric acid	Synthetic organic	338442	HCAR2	Q8TDS4	Membrane	sMOL-receptor interaction	Human	15929991	IUPHAR	LR08358
135651406	11367166	3-hydroxyoctanoic acid	Metabolite	8843	HCAR3	P49019	Membrane	sMOL-receptor interaction	Human	19561068	IUPHAR	LR08359
135651493	774	histamine	Metabolite	3269	HRH1	P35367	Membrane	sMOL-receptor interaction	Human	7925364;12065734;16394198;12626648;15206929	IUPHAR	LR08360
135651493	774	histamine	Metabolite	11255	HRH3	Q9Y5N1	Membrane	sMOL-receptor interaction	Human	10869375;11284713;11090094;12393057;11179434;14640553	IUPHAR	LR08361
135651493	774	histamine	Metabolite	59340	HRH4	Q9H3N8	Membrane	sMOL-receptor interaction	Human	11179434;11561071;11181941;11179436;15947036;16432504;15454206	IUPHAR	LR08362
135651533	5283454	N-oleoylethanolamide	Metabolite	139760	GPR119	Q8TDV5	Membrane	sMOL-receptor interaction	Human	16517404;19901198;23396314	IUPHAR	LR08363
135651563	5283560	sphingosine 1-phosphate	Metabolite	2835	GPR12	P47775	Membrane	sMOL-receptor interaction	Human	12220620	IUPHAR	LR08364
